,Player,PPR_Projected_2023
792,D'Andre Swift,188.3514194484458
831,Dak Prescott,188.2968393980515
341,Brandin Cooks,188.0260128635422
845,Dalton Schultz,187.61081147832095
665,Christian Kirk,187.38109168797808
2308,Kirk Cousins,186.00823278411312
2095,JuJu Smith-Schuster,185.0222036212628
1363,Ezekiel Elliott,184.8417557145846
3480,Tom Brady,184.71256623864247
1694,James Conner,184.473444245052
3429,Teddy Bridgewater,184.19105702657856
1792,Javonte Williams,183.725561616851
2830,Nick Chubb,183.4854436059008
1361,Ezekiel Elliott,183.01795993351374
1021,Davis Mills,182.93048422270786
3583,Trevor Lawrence,181.6689314855934
1886,Jimmy Garoppolo,181.65264920420051
3537,Travis Kelce,181.500434879612
2573,Marvin Jones,181.45644425793304
118,Allen Robinson,181.39020768753116
3775,Zach Ertz,181.34553055278923
3449,Terry McLaurin,181.04057994641005
138,Amari Cooper,180.94857291979207
1045,DeAndre Hopkins,180.94702645366112
1217,Diontae Johnson,180.4127943741748
1749,Jared Goff,180.37541379166623
2258,Kenny Golladay,180.3667527305844
136,Amari Cooper,179.68628927556495
598,Chosen Anderson,179.64798291995646
1434,George Kittle,179.44037569650285
48,Adam Thielen,179.30235543292562
1219,Diontae Johnson,179.300903711779
129,Alvin Kamara,178.91363857349475
2657,Melvin Gordon,178.85787858309237
1649,Jakobi Meyers,178.6270658132998
47,Adam Thielen,178.6094316264944
1183,Devin Singletary,178.3897896378226
1248,Drake London,177.74861855670724
3246,Saquon Barkley,177.7096033309944
1357,Evan Engram,177.4384361833346
1000,David Montgomery,177.2186804582898
1070,DeVante Parker,177.07391819681794
2183,Kareem Hunt,176.98432397048987
787,Curtis Samuel,176.71663221209727
2660,Melvin Gordon,176.68774988367264
3479,Tom Brady,176.34358735932673
999,David Montgomery,176.25987118723395
935,Darrel Williams,176.0014673390127
2522,Mark Ingram,175.90312959758535
537,CeeDee Lamb,175.75506746766305
2744,Mike Williams,175.60960593325316
3124,Robert Woods,175.4885651415134
1751,Jared Goff,175.45292596306837
