,Rank,Player,CBS,Sleeper,RTSports,AVG
272,273,Denver Broncos, , ,243,243.0
273,274,Eric Gray, ,243,306,274.5
274,275,Sean Tucker, ,245,298,271.5
275,276,Malik Davis, ,246,305,275.5
276,277,Michael Wilson, ,248,297,272.5
277,278,Colt McCoy, , ,251,251.0
278,279,Pittsburgh Steelers, , ,253,253.0
279,280,Marvin Jones Jr., ,253, ,253.0
280,281,Los Angeles Chargers, , ,254,254.0
281,282,Detroit Lions, , ,256,256.0
282,283,Joshua Palmer, ,256,296,276.0
283,284,Seattle Seahawks, , ,257,257.0
284,285,Sterling Shepard, , ,258,258.0
285,286,Corey Davis, ,258, ,258.0
286,287,Jarvis Landry, , ,259,259.0
287,288,Greg Dortch, ,259, ,259.0
288,289,Luke Schoonmaker, ,260,299,279.5
289,290,Deon Jackson, , ,261,261.0
290,291,Cedric Tillman, ,261,313,287.0
291,292,Matt Breida, , ,263,263.0
292,293,Zack Moss, ,266,282,274.0
293,294,Graham Gano, ,264,289,276.5
294,295,Indianapolis Colts, , ,265,265.0
295,296,Cincinnati Bengals, , ,266,266.0
296,297,Evan Hull, ,267,291,279.0
297,298,Tampa Bay Buccaneers, , ,268,268.0
298,299,Isaiah Spiller, ,268,310,289.0
299,300,Ronald Jones II, ,270, ,270.0
300,301,D'Ernest Johnson, , ,270,270.0
301,302,Daniel Bellinger, ,271,293,282.0
302,303,Darnell Washington, ,272, ,272.0
303,304,Foster Moreau, ,273, ,273.0
304,305,Devin Duvernay, ,274, ,274.0
305,306,Brett Maher, , ,275,275.0
306,307,Josh Reynolds, ,275, ,275.0
307,308,Wil Lutz, , ,276,276.0
308,309,Mack Hollins, ,276, ,276.0
309,310,Green Bay Packers, , ,277,277.0
310,311,Trayveon Williams, ,277,315,296.0
311,312,Kayshon Boutte, ,278, ,278.0
312,313,Russell Gage, ,279, ,279.0
313,314,New York Giants, , ,280,280.0
314,315,Austin Hooper, ,281, ,281.0
315,316,Xavier Hutchinson, ,282, ,282.0
316,317,Tim Tebow, ,283, ,283.0
317,318,Nick Tiano, ,284, ,284.0
318,319,Deneric Prince, , ,284,284.0
319,320,Latavius Murray, , ,285,285.0
320,321,Melvin Gordon III, , ,286,286.0
321,322,Kenny McIntosh, , ,288,288.0
322,323,J.D. McKissic, , ,290,290.0
323,324,Greg Joseph, , ,295,295.0
324,325,Denzel Mims, , ,300,300.0
325,326,Carolina Panthers, , ,302,302.0
326,327,Raheem Blackshear, , ,309,309.0
327,328,Ke'Shawn Vaughn, , ,311,311.0
328,329,Jordan Mason, , ,312,312.0
329,330,Trent Sherfield, , ,314,314.0
330,331,Kendrick Bourne, , ,316,316.0
331,332,Trey Palmer, , ,317,317.0
332,333,Chris Rodriguez Jr., , ,318,318.0
